Lead Name,Vertical,Lead Value ($)
Apex Corp,Finance,75000
Beta Soft,Technology,32000
Gamma Logistics,Logistics,120000
Delta Health,Healthcare,45000
Epsilon Finance,Finance,95000
Zeta Tech,Technology,60000
Eta Retail,Retail,28000
Theta Logistics,Logistics,85000
Iota Health,Healthcare,15000
Kappa Tech,Technology,110000
Lambda Retail,Retail,52000
Mu Finance,Finance,40000
Nu Logistics,Logistics,90000
Xi Tech,Technology,72000
Omicron Health,Healthcare,38000
Pi Retail,Retail,64000
Rho Finance,Finance,105000
Sigma Logistics,Logistics,115000
Tau Tech,Technology,99000
